epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65485,1.28848,3.5622,1.4382,0.01689,0.68223,0.09372,0.07073,0.9658,3.29034,1.18959,5.454e-05,5.454e-05,5.454e-05
2,9.68137,1.15341,3.48073,1.38436,0.02161,0.63553,0.14342,0.11333,0.88475,3.26246,1.1136,0.00011622,0.00011622,0.00011622
3,12.7392,1.15218,3.25034,1.34266,0.02105,0.72894,0.14118,0.11227,0.85105,3.24308,1.10029,0.000175801,0.000175801,0.000175801
4,15.3644,1.17967,3.11417,1.37736,0.02279,0.90171,0.16485,0.12213,0.88961,3.22403,1.12584,0.000233281,0.000233281,0.000233281
5,17.829,1.28489,3.0012,1.48776,0.01596,0.89072,0.20705,0.14222,0.9762,3.20097,1.16046,0.000288662,0.000288662,0.000288662
6,21.0263,1.21748,2.7747,1.42004,0.01348,0.88278,0.35353,0.25053,0.9689,3.13343,1.19677,0.000341943,0.000341943,0.000341943
7,23.5062,1.23267,2.55365,1.43407,0.01141,0.85501,0.3349,0.25312,1.0914,3.05322,1.30038,0.000393124,0.000393124,0.000393124
8,25.5268,1.21767,2.37837,1.41108,0.60742,0.17327,0.28146,0.19887,1.11505,2.94159,1.30417,0.000442206,0.000442206,0.000442206
9,27.5491,1.20016,2.22992,1.37429,0.7923,0.05372,0.53517,0.39367,1.07773,2.74714,1.29537,0.000489187,0.000489187,0.000489187
10,29.7208,1.27947,2.23879,1.46517,0.73585,0.27266,0.50789,0.37724,1.09963,2.60787,1.32806,0.000534069,0.000534069,0.000534069
11,32.0411,1.24509,2.09297,1.40277,0.71407,0.29701,0.48768,0.35816,1.22921,2.4067,1.436,0.000576851,0.000576851,0.000576851
12,35.101,1.20341,1.95161,1.39589,0.74518,0.39599,0.51882,0.36681,1.33206,2.07817,1.52599,0.000617534,0.000617534,0.000617534
13,37.2898,1.14206,1.89434,1.35606,0.5626,0.51839,0.51896,0.39633,1.23265,1.93577,1.44079,0.000656116,0.000656116,0.000656116
